Nombre;Descripcion;Calorias;Tiempo;SlugUrl;Estado;ImagenArchivo;ImagenUrl;VideoUrl;Ingredientes;Pasos;Categorias
Mote de Queso;Sopa costeña de ñame con queso costeño y suero. Espesa, sabrosa y con un sabor que recuerda al Caribe colombiano.;580;50;mote-de-queso;publicado;mote-de-queso.jpg;;;Name:400g,Queso costeno:200g,Suero costeno:100g,Cebolla:1 unidad,Tomate:1 unidad,Ajo:3 dientes;Pelar y trocear el ñame, sofreír cebolla, tomate y ajo|Agregar el ñame al sofrito y cubrir con agua|Cocinar hasta que el ñame esté muy blando y espese el caldo|Añadir el queso costeño desmenuzado y el suero|Mezclar bien, ajustar sal y servir caliente;Sopa,Tradicional colombiana,Costena
Changua;Sopa bogotana de desayuno con leche, huevo escalfado y cilantro. Sencilla, nutritiva y muy querida en los hogares capitalinos.;240;15;changua;publicado;changua.jpg;;;Leche:300ml,Huevo:2 unidades,Agua:200ml,Cebolla larga:1 rama,Cilantro:al gusto,Pan:2 tajadas;Hervir el agua con la cebolla larga troceada|Añadir la leche y llevar a punto de hervor|Romper los huevos dentro del caldo para escalfarlos|Cocinar 3 minutos hasta que las claras cuajen|Servir con cilantro picado y pan tajado;Desayuno,Sopa,Tradicional colombiana,Bogotana
Sopa de Lentejas;Sopa nutritiva y reconfortante de lentejas con verduras, papa y chorizo. Fácil, económica y perfecta para cualquier día.;420;45;sopa-de-lentejas;publicado;sopa-de-lentejas.jpg;;;Lentejas:250g,Zanahoria:1 unidad,Papa:2 unidades,Chorizo:1 unidad,Cebolla:1 unidad,Ajo:2 dientes,Tomate:1 unidad,Cilantro:al gusto;Remojar las lentejas 30 minutos y escurrir|Sofreír cebolla, ajo, tomate y chorizo en rodajas|Agregar lentejas, papa y zanahoria troceadas|Cubrir con agua y cocinar 30 minutos a fuego medio|Sazonar con sal y comino, servir con cilantro;Sopa,Saludable,Reconfortante
Arroz con Leche;Postre cremoso de arroz cocinado en leche endulzada con azúcar, canela y ralladura de limón. Clásico de los domingos colombianos.;310;40;arroz-con-leche;publicado;arroz-con-leche.jpg;;;Arroz:200g,Leche:1000ml,Azucar:100g,Canela:1 rama,Pasas:50g,Ralladura de limon:1 cucharadita;Cocinar el arroz en agua hasta que absorba el líquido|Añadir la leche caliente poco a poco sin dejar de revolver|Agregar azúcar, canela, ralladura de limón y pasas|Cocinar a fuego bajo 20 minutos revolviendo constantemente|Servir tibio o frío espolvoreado con canela en polvo;Postre,Dulce,Tradicional colombiana
Natilla;Postre navideño colombiano de leche cuajada con panela y maicena, aromatizado con canela. Mesa de diciembre sin natilla no es navidad.;290;30;natilla;publicado;natilla.jpg;;;Leche:1000ml,Panela:200g,Maicena:100g,Canela:2 ramas,Pasas:50g,Coco rallado:50g;Disolver la maicena en leche fría y reservar|Hervir la leche restante con panela y canela hasta disolver|Agregar la mezcla de maicena sin dejar de revolver|Cocinar a fuego bajo hasta que espese y se despegue de la olla|Verter en molde, decorar con pasas y coco, dejar enfriar;Postre,Navideno,Tradicional colombiana
Buñuelos;Bolitas de queso fritas y esponjosas, infaltables en la mesa navideña colombiana junto a la natilla. Crujientes por fuera, suaves por dentro.;160;35;bunuelos;publicado;bunuelos.jpg;;;Queso costeno:200g,Harina de maiz:100g,Almidon de yuca:100g,Huevo:1 unidad,Azucar:1 cucharada;Rallar el queso y mezclar con almidón, harina y azúcar|Añadir el huevo y amasar hasta que la masa no se pegue|Formar bolitas medianas de tamaño uniforme|Freír en aceite abundante a temperatura media|Voltear constantemente hasta que queden dorados y huecos;Postre,Navideno,Frito
Cocadas;Dulce costeño de coco rallado cocinado con panela hasta lograr una textura firme y caramelizada. Sabor caribeño puro.;195;25;cocadas;publicado;cocadas.jpg;;;Coco rallado:300g,Panela:200g,Azucar:50g,Canela:1 pizca,Clavo de olor:2 unidades;Derretir la panela con un poco de agua hasta formar melado|Agregar el coco rallado y mezclar bien|Cocinar a fuego medio revolviendo sin parar|Agregar canela y clavo, cocinar hasta que espese y se vea el fondo|Formar porciones sobre papel encerado y dejar enfriar;Postre,Dulce,Costeno
Brevas con Arequipe;Higos frescos cocinados en almíbar de panela, servidos con arequipe y queso fresco. Un postre sencillo de sabor profundo.;385;90;brevas-con-arequipe;publicado;brevas-con-arequipe.jpg;;;Brevas:500g,Panela:200g,Canela:1 rama,Arequipe:200g,Queso fresco:100g;Lavar y cortar en cruz la parte superior de cada breva|Preparar almíbar con panela, agua y canela|Cocinar las brevas en el almíbar 45 minutos a fuego bajo|Dejar enfriar en el almíbar para que absorban dulzor|Servir las brevas con arequipe encima y queso fresco al lado;Postre,Dulce,Tradicional colombiana
Obleas;Dos láminas crujientes de oblea rellenas de arequipe, queso, mermelada o lo que el corazón pida. Snack callejero bogotano icónico.;270;5;obleas;publicado;obleas.jpg;;;Obleas:2 unidades,Arequipe:3 cucharadas,Queso rallado:2 cucharadas,Mermelada de mora:1 cucharada;Extender arequipe sobre una oblea de manera uniforme|Agregar queso rallado sobre el arequipe|Añadir mermelada de mora si se desea|Tapar con la segunda oblea presionando suavemente|Servir de inmediato antes de que la oblea se ablande;Postre,Snack,Comida rapida
Tamal;Masa de maíz rellena de cerdo, pollo, arroz y verduras, envuelta en hoja de plátano y cocinada al vapor. Desayuno festivo colombiano.;650;180;tamal;publicado;tamal.jpg;;;Masa de maiz:500g,Cerdo:200g,Pollo:200g,Arroz:100g,Zanahoria:1 unidad,Arveja:100g,Huevo:2 unidades,Papa:2 unidades;Preparar la masa de maíz con manteca, sal y caldo caliente|Cocinar las carnes por separado con ajo y especias|Extender la masa sobre la hoja de plátano|Colocar los rellenos: carnes, papa, zanahoria, arveja y huevo|Doblar la hoja, amarrar y cocinar al vapor 90 minutos;Tradicional colombiana,Festivo,Desayuno
Caldo de Costilla;Caldo bogotano de madrugada con costilla de res, papa y cilantro. El remedio casero más famoso contra el cansancio y el frío.;380;90;caldo-de-costilla;publicado;caldo-de-costilla.jpg;;;Costilla de res:500g,Papa:3 unidades,Cebolla:1 unidad,Ajo:3 dientes,Cilantro:al gusto,Sal:al gusto,Comino:1 cucharadita;Dorar la costilla con ajo y cebolla en olla a presión|Cubrir con agua fría y cocinar 40 minutos bajo presión|Agregar papa pelada y troceada al caldo desgrasado|Cocinar 20 minutos más hasta que la papa esté suave|Ajustar sal y comino, servir con cilantro y limón;Sopa,Desayuno,Tradicional colombiana,Bogotana
Mondongo;Sopa antioqueña de panza de res con papa, zanahoria y especias. Contundente, laboriosa y de un sabor único que divide opiniones.;520;150;mondongo;publicado;mondongo.jpg;;;Mondongo:600g,Papa:2 unidades,Zanahoria:1 unidad,Cebolla:1 unidad,Tomate:1 unidad,Ajo:3 dientes,Cilantro:al gusto,Comino:1 cucharadita;Limpiar el mondongo con limón y sal, cortar en trozos pequeños|Cocinar en olla a presión con ajo, cebolla y comino 60 min|Preparar hogao con tomate y cebolla en sartén aparte|Agregar hogao, papa y zanahoria troceadas al caldo|Cocinar 30 minutos más, sazonar y servir con cilantro;Sopa,Tradicional colombiana,Antioquena
Fritanga;Parrillada criolla de chicharrón, morcilla, chorizo, costilla y papa criolla. El festín favorito de los fines de semana colombianos.;1400;60;fritanga;publicado;fritanga.jpg;;;Chicharron:250g,Morcilla:2 unidades,Chorizo:2 unidades,Costilla:300g,Papa criolla:300g,Platano:1 unidad;Adobar la costilla con sal, comino y ajo con anticipación|Cocinar el chicharrón hasta que quede crocante|Asar chorizo y morcilla en parrilla o sartén|Freír la papa criolla y el plátano maduro|Servir todo junto con hogao, ají y limón;Festivo,Frito,Tradicional colombiana
Hogao;Salsa base de la cocina colombiana hecha con tomate y cebolla larga sofritos lentamente. Acompaña prácticamente todo en la mesa colombiana.;85;15;hogao;publicado;hogao.jpg;;;Tomate:3 unidades,Cebolla larga:2 ramas,Ajo:2 dientes,Aceite:2 cucharadas,Comino:1 cucharadita,Sal:al gusto;Picar finamente el tomate, la cebolla larga y el ajo|Calentar el aceite en sartén a fuego medio|Sofreír el ajo y la cebolla hasta que se marchiten|Agregar el tomate y cocinar revolviendo 10 minutos|Sazonar con comino y sal hasta lograr una salsa espesa;Salsa,Acompanamiento,Vegano,Base
Arroz con Coco;Arroz costeño cocinado en leche de coco con toque dulce o salado. Acompañamiento indispensable del pescado en la costa Caribe.;340;30;arroz-con-coco;publicado;arroz-con-coco.jpg;;;Arroz:300g,Leche de coco:400ml,Coco rallado:50g,Sal:al gusto,Azucar:1 cucharadita;Tostar el coco rallado en sartén seco hasta dorar|Mezclar leche de coco con agua para completar el líquido de cocción|Agregar arroz, sal, azúcar y el coco tostado|Cocinar a fuego medio hasta que el arroz absorba el líquido|Tapar y cocinar a fuego bajo 10 minutos más, servir suelto;Acompanamiento,Costeno,Tradicional colombiana
Cazuela de Mariscos;Guiso cremoso costeño de camarones, almejas y calamar en leche de coco con hogao. Sabor a mar en cada cucharada.;620;45;cazuela-de-mariscos;publicado;cazuela-de-mariscos.jpg;;;Camarones:200g,Almejas:200g,Calamar:150g,Leche de coco:300ml,Hogao:3 cucharadas,Arroz:200g,Cilantro:al gusto;Preparar hogao con tomate, cebolla y ajo bien sofrito|Agregar los mariscos al hogao y sofreír 3 minutos|Incorporar la leche de coco y hervir a fuego bajo|Cocinar 10 minutos hasta que los mariscos estén en su punto|Servir sobre arroz blanco con cilantro picado;Mariscos,Costeno,Tradicional colombiana
Posta Negra;Carne de res cocinada lentamente en salsa oscura de panela, vinagre y especias. Plato festivo costeño de sabor agridulce inconfundible.;480;120;posta-negra;publicado;posta-negra.jpg;;;Carne de res:800g,Panela:100g,Cebolla:1 unidad,Ajo:4 dientes,Comino:1 cucharadita,Pimienta:al gusto,Vinagre:2 cucharadas;Marinar la carne con ajo, comino, sal y pimienta varias horas|Sellar la carne en aceite caliente por todos lados|Agregar cebolla, vinagre y panela rallada|Cubrir y cocinar a fuego lento 90 minutos|Reducir la salsa hasta que quede espesa y brillante;Carne,Tradicional colombiana,Costena
Envueltos de Mazorca;Masa de mazorca fresca envuelta en su propia hoja y cocida al vapor. Dulces o salados, suaves y aromáticos. Snack campesino entrañable.;210;40;envueltos-de-mazorca;publicado;envueltos-de-mazorca.jpg;;;Mazorca rallada:4 unidades,Queso:100g,Mantequilla:50g,Sal:al gusto,Azucar:2 cucharadas;Rallar las mazorcas frescas y mezclar con mantequilla derretida|Agregar queso, sal y azúcar, mezclar bien|Colocar la mezcla sobre hojas de mazorca limpias|Doblar y amarrar los envueltos con tiras de hoja|Cocinar al vapor 30-35 minutos, servir calientes;Snack,Vegetariana,Tradicional colombiana
Sopa de Pasta;Sopa cotidiana colombiana con pasta, papa, zanahoria y pollo. Sencilla, rápida y el almuerzo de mil hogares de lunes a viernes.;390;35;sopa-de-pasta;publicado;sopa-de-pasta.jpg;;;Pasta:150g,Papa:2 unidades,Zanahoria:1 unidad,Cebolla:1 unidad,Pollo:300g,Cilantro:al gusto,Ajo:2 dientes;Hervir el pollo con cebolla, ajo y sal hasta obtener buen caldo|Desmenuzar el pollo y reservar el caldo colado|Agregar papa y zanahoria troceadas al caldo|Cocinar 10 minutos y añadir la pasta|Cocinar hasta que la pasta esté al dente, servir con cilantro;Sopa,Reconfortante,Cotidiana
Chorizos Colombianos;Embutido de cerdo adobado con ajo, comino y ají, asado hasta quedar jugoso por dentro y tostado por fuera. Protagonista de toda fritanga.;310;30;chorizos-colombianos;publicado;chorizos-colombianos.jpg;;;Cerdo:500g,Tocino:100g,Ajo:4 dientes,Comino:2 cucharaditas,Sal:al gusto,Pimienta:al gusto,Aji:1 unidad;Moler el cerdo y el tocino juntos en molino medio|Mezclar con ajo machacado, comino, sal, pimienta y ají|Embutir en tripa natural bien limpia|Pinchar ligeramente con aguja para evitar que revienten|Asar a fuego medio girando constantemente hasta dorar;Embutido,Festivo,Proteina
Sancocho Trifásico;El rey de los sancochos. Pollo, res y cerdo juntos con yuca, mazorca y plátano. Para celebraciones y reuniones de familia numerosa.;950;150;sancocho-trifasico;publicado;sancocho-trifasico.jpg;;;Pollo:300g,Res:300g,Cerdo:300g,Yuca:300g,Platano:1 unidad,Mazorca:2 unidades,Papa:3 unidades,Cilantro:al gusto,Ajo:4 dientes;Sellar las tres carnes con ajo, cebolla y comino|Cubrir con abundante agua y hervir 40 minutos|Agregar yuca, mazorca y plátano verde troceados|Cocinar 20 minutos más y añadir la papa|Ajustar sazón, agregar cilantro y servir con arroz y hogao;Sopa,Festivo,Tradicional colombiana
Lengua en Salsa;Lengua de res tierna cocinada en salsa de tomate, cebolla, pimentón y laurel. Plato de fondo festivo y sofisticado de la cocina colombiana.;430;180;lengua-en-salsa;publicado;lengua-en-salsa.jpg;;;Lengua de res:1000g,Tomate:3 unidades,Cebolla:1 unidad,Ajo:4 dientes,Pimenton:1 unidad,Laurel:2 hojas,Comino:1 cucharadita;Limpiar y cocinar la lengua en olla a presión con ajo y sal 60 min|Pelar la lengua caliente y cortar en tajadas|Preparar salsa con tomate, cebolla, pimentón, laurel y comino|Agregar las tajadas a la salsa y cocinar 20 minutos|Servir con arroz blanco y patacones;Carne,Tradicional colombiana,Festivo
Almojábanas;Panecillos de queso y maíz, esponjosos y levemente dulces. Similares al pandebono pero con su propia identidad paisa y bogotana.;190;35;almojabanas;publicado;almojabanas.jpg;;;Harina de maiz:150g,Queso:200g,Mantequilla:50g,Huevo:1 unidad,Leche:50ml;Mezclar queso rallado con harina de maíz y una pizca de sal|Incorporar mantequilla derretida, huevo y leche|Amasar hasta obtener masa suave y homogénea|Formar rollos oblongos o bolitas y colocar en bandeja engrasada|Hornear a 190°C durante 20-25 minutos hasta dorar;Panaderia,Desayuno,Snack,Antioquena
Arroz Paisa;Arroz mixto antioqueño con frijoles, hogao, huevo, chicharrón y aguacate. La síntesis de la cocina paisa en un solo plato.;780;50;arroz-paisa;publicado;arroz-paisa.jpg;;;Arroz:300g,Frijoles:200g,Huevo:2 unidades,Chicharron:100g,Hogao:3 cucharadas,Aguacate:1 unidad;Cocinar arroz blanco y frijoles por separado|Freír el chicharrón hasta que quede crocante|Mezclar arroz con hogao y frijoles en la misma olla|Servir en plato hondo con huevo frito encima|Acompañar con chicharrón trozado y aguacate en rodajas;Tradicional colombiana,Antioquena,Contundente
Ají de Maní;Salsa suave y cremosa de maní molido con ají, leche y especias. Acompañante perfecto de papas, carnes y arepas.;130;20;aji-de-mani;publicado;aji-de-mani.jpg;;;Mani:150g,Aji:1 unidad,Cebolla:1/2 unidad,Ajo:1 diente,Cilantro:al gusto,Leche:100ml,Sal:al gusto;Tostar el maní en sartén seco hasta dorar ligeramente|Licuar el maní con la leche hasta obtener crema suave|Sofreír cebolla, ajo y ají picado finamente|Agregar la crema de maní al sofrito y mezclar|Cocinar a fuego bajo 5 minutos, sazonar con sal y cilantro;Salsa,Acompanamiento,Vegetariana
Ceviche de Camarones;Camarones marinados en limón con tomate, cebolla y cilantro. Fresco, ácido y picante. El ceviche costeño colombiano tiene su propio carácter.;220;15;ceviche-de-camarones;publicado;ceviche-de-camarones.jpg;;;Camarones:300g,Limon:4 unidades,Tomate:2 unidades,Cebolla:1 unidad,Cilantro:al gusto,Aji:1 unidad,Sal:al gusto;Cocinar ligeramente los camarones en agua con sal y escurrir|Marinar en jugo de limón recién exprimido 5 minutos|Picar tomate, cebolla, ají y cilantro finamente|Mezclar camarones con los vegetales picados|Sazonar, refrigerar 5 minutos y servir con patacones o galletas;Mariscos,Frio,Costeno,Saludable
Champús;Bebida-postre espesa de maíz peto con lulo, guanábana, mora y pina aromatizada con hojas de naranjo. Refrescante emblema del Valle del Cauca.;280;90;champus;publicado;champus.jpg;;;Maiz peto:200g,Lulo:2 unidades,Guanabana:200g,Mora:100g,Pina:200g,Panela:150g,Hojas de naranjo:4 unidades,Clavo:3 unidades;Cocinar el maíz peto 2 horas hasta que reviente y esté blando|Preparar melado con panela, hojas de naranjo y clavo|Licuar lulo, guanábana, mora y piña con el melado|Mezclar la fruta licuada con el maíz cocido|Enfriar y servir con hielo, ajustar dulzor al gusto;Bebida,Postre,Tradicional colombiana,Valluno
Masato de Arroz;Bebida fermentada suave de arroz con piña, panela y canela. Dulce, con algo de efervescencia natural y aroma inconfundible.;200;60;masato-de-arroz;publicado;masato-de-arroz.jpg;;;Arroz:300g,Panela:200g,Canela:2 ramas,Clavo:3 unidades,Pina:300g,Agua:2000ml;Cocinar el arroz hasta que esté muy blando y harinoso|Licuar el arroz cocido con un poco de agua y colar|Disolver panela en agua tibia con canela y clavo|Mezclar el arroz colado con el melado de panela|Añadir la piña rallada, tapar y dejar fermentar 2 días en fresco;Bebida,Dulce,Tradicional colombiana
Papa Chorreada;Papa cocida bañada en hogao cremoso con queso y cilantro. Acompañamiento reconfortante bogotano, sencillo y absolutamente delicioso.;310;30;papa-chorreada;publicado;papa-chorreada.jpg;;;Papa:4 unidades,Hogao:4 cucharadas,Crema:50ml,Queso:80g,Cilantro:al gusto;Cocinar las papas con sal hasta que estén tiernas|Preparar hogao con tomate, cebolla y ajo bien sofrito|Agregar la crema al hogao y cocinar 2 minutos más|Pelar las papas calientes y colocar en plato|Bañar con el hogao cremoso, queso rallado y cilantro;Acompanamiento,Vegetariana,Bogotana
Dulce de Papayuela;Higos de papayuela cocinados lentamente en almíbar de panela con canela y clavo. Dulce tradicional de conserva que evoca la cocina campesina.;180;120;dulce-de-papayuela;publicado;dulce-de-papayuela.jpg;;;Papayuela:500g,Panela:250g,Canela:2 ramas,Clavo:4 unidades,Limon:1 unidad;Lavar y pinchar las papayuelas con tenedor|Preparar almíbar con panela, agua, canela y clavo|Cocinar las papayuelas en el almíbar a fuego bajo|Revolver ocasionalmente 1.5 horas hasta que oscurezcan y brillen|Dejar enfriar en el almíbar, guardar en frasco esterilizado;Postre,Dulce,Tradicional colombiana
